iter	Logloss
0	0.6823743823
1	0.6719952113
2	0.6618571974
3	0.6519875132
4	0.642756793855	0.635624745666	0.626780859377	0.619841323288	0.6128620229
9	0.6060355778
10	0.5979580896
11	0.5933326274112	0.587387359
13	0.5801450034
14	0.5730267478
15	0.5662096353
16	0.5592617149
17	0.5517246369
18	0.5458737508
19	0.540107049
20	0.5361356204
21	0.5304270167
22	0.5248659943
23	0.5195733159
24	0.5142000209
25	0.5108818512
26	0.5058604465
27	0.5010659547
28	0.496126159
29	0.4890552945
30	0.4838617562
31	0.4797666855
32	0.4767021131
33	0.4739535322
34	0.4687448756
35	0.4636525301
36	0.459725163
37	0.4561973736
38	0.4504352757
39	0.4456336172
40	0.4428889978
41	0.4397355356
42	0.4356385619
43	0.4339428304
44	0.4323253045
45	0.4291315198
46	0.4241149693
47	0.4217107728
48	0.4193792118
49	0.4155489888
50	0.4117112159
51	0.4085000169
52	0.4034961078
53	0.3991665651
54	0.3972481173
55	0.3950735453
56	0.3928544994
57	0.3887849186
58	0.3856621643
59	0.3837634348
60	0.3812717283
61	0.3771713292
62	0.3753893762
63	0.3729354847
64	0.3717854216
65	0.3677786947
66	0.3655746245
67	0.3637469063
68	0.3612173938
69	0.3581665802
70	0.3564155906
71	0.3545598829
72	0.3526227139
73	0.3492233386
74	0.3477607097
75	0.3460638309
76	0.3451494583
77	0.3438799599
78	0.3411702235
79	0.3401264861
80	0.3387559316
81	0.3372033973
82	0.3358760143
83	0.3342875832
84	0.3326422573
85	0.3304721985
86	0.3291120079
87	0.3273942951
88	0.3264165234
89	0.3248563999
90	0.3236500229
91	0.3226975801
92	0.3218906512
93	0.320757107
94	0.3197934442
95	0.3178693666
96	0.3162822227
97	0.3152522303
98	0.3143375566
99	0.3130687899
100	0.3122095842
101	0.3110269952
102	0.3085358835
103	0.3076313286
104	0.306226111
105	0.3049154059
106	0.3042006701
107	0.3017921614
108	0.3009987813
109	0.3002470505
110	0.298282158
111	0.2974168824
112	0.2955399513
113	0.2947966359
114	0.2934757714
115	0.2924870829
116	0.2918653835
117	0.2907220793
118	0.290038458
119	0.2890121997
120	0.2871469937
121	0.2859084544
122	0.2839943005
123	0.2819950117
124	0.2810884186
125	0.279842037
126	0.2790539888
127	0.277467409
128	0.2768992207
129	0.2761071182
130	0.2746142855
131	0.273994033
132	0.2727538556
133	0.2719355556
134	0.2704993979
135	0.269844567
136	0.2693351191
137	0.2688539066
138	0.2671087193
139	0.2661108519
140	0.2652196353
141	0.2634118583
142	0.2618627824
143	0.2609257279
144	0.2604119598
145	0.2595344295
146	0.258575345
147	0.2579695876
148	0.256429539
149	0.2554838139
150	0.2548518928
151	0.254410188
152	0.2530964377
153	0.2521456263
154	0.2516378114
155	0.251211082
156	0.2504661128
157	0.2498259194
158	0.2486236169
159	0.2475058516
160	0.2462085076
161	0.2455723303
162	0.2451040595
163	0.2443901069
164	0.2437146003
165	0.2432256386
166	0.2427179652
167	0.2422607181
168	0.2418807534
169	0.2413189346
170	0.2407443997
171	0.2395881529
172	0.2386256559
173	0.238123772
174	0.2374421953
175	0.2369880131
176	0.2366567154
177	0.2362816957
178	0.2352003648
179	0.2346698152
180	0.2339545167
181	0.2334306923
182	0.2322044705
183	0.2318163518
184	0.2313627097
185	0.2308846611
186	0.2303663625
187	0.2287424755
188	0.2282129416
189	0.2277412717
190	0.2271735767
191	0.2264471363
192	0.2259199185
193	0.2256053964
194	0.2239638541
195	0.2236191716
196	0.2233144664
197	0.2229550709
198	0.2226848322
199	0.2222816045
200	0.2213818283
201	0.2209107978
202	0.220278017
203	0.2198248271
204	0.2193233123
205	0.2189799308
206	0.2180672804
207	0.2168587323
208	0.2160592405
209	0.2158059553
210	0.2149775602
211	0.2141966344
212	0.2136830731
213	0.2134067308
214	0.2129581813
215	0.2126360089
216	0.212003079
217	0.2116998909
218	0.2114367767
219	0.2112004987
220	0.210732
221	0.2102513564
222	0.2097454023
223	0.2089253887
224	0.2085315992
225	0.2082964782
226	0.208012741
227	0.2072680783
228	0.2069490257
229	0.2066942629
230	0.2057760052
231	0.2054827963
232	0.2052209284
233	0.2047898922
234	0.2044477776
235	0.2039409263
236	0.2034747808
237	0.2031979371
238	0.2029702786
239	0.2027338052
240	0.202411104
241	0.2021204946
242	0.2013138249
243	0.2009382495
244	0.2006895185
245	0.2004715817
246	0.2002379663
247	0.1999848946
248	0.1997009708
249	0.1994886032
250	0.1992081335
251	0.19877102
252	0.1984003166
253	0.1981466973
254	0.1976745929
255	0.1974586162
256	0.1970768954
257	0.1967201465
258	0.1964119588
259	0.196086459
260	0.1958379603
261	0.1955583186
262	0.1949010368
263	0.1945897754
264	0.1937597111
265	0.1934496617
266	0.1926113236
267	0.1924060621
268	0.1921757014
269	0.1920144984
270	0.1916941509
271	0.1914721326
272	0.1912718611
273	0.1910572862
274	0.1908489689
275	0.19067353
276	0.190366409
277	0.1895103493
278	0.1891837746
