iter	Passed	Remaining
0	593	296028
1	1170	291431
2	1668	276410
3	2198	272646
4	2577	255144
5	2919	240396
6	3326	234273
7	3688	226841
8	4061	221561
9	4411	216162
10	4823	214422
11	5139	209018
12	5499	206013
13	5854	203221
14	6295	203539
15	6676	201971
16	7081	201195
17	7466	199942
18	7815	197853
19	8188	196520
20	8537	194733
21	8909	193572
22	9282	192505
23	9675	191905
24	10052	191001
25	10387	189366
26	10773	188739
27	11041	186133
28	11431	185664
29	11800	184881
30	12162	184005
31	12594	184188
32	12991	183848
33	13312	182458
34	13722	182307
35	14101	181750
36	14479	181188
37	14878	180892
38	15238	180121
39	15635	179811
40	15979	178896
41	16397	178809
42	16712	177618
43	17076	176978
44	17384	175781
45	17812	175800
46	18181	175235
47	18525	174447
48	18881	173791
49	19251	173261
50	19612	172666
51	19972	172073
52	20327	171441
53	20708	171035
54	21091	170651
55	21418	169821
56	21776	169241
57	22131	168654
58	22479	168028
59	22864	167670
60	23241	167259
61	23684	167319
62	24032	166698
63	24400	166227
64	24852	166322
65	25222	165856
66	25547	165104
67	25941	164805
68	26297	164264
69	26688	163945
70	27067	163547
71	27412	162952
72	27752	162330
73	28139	161991
74	28458	161262
75	28798	160665
76	29202	160425
77	29569	159977
78	29919	159442
79	30260	158865
80	30650	158548
81	31008	158069
82	31340	157455
83	31661	156798
84	32001	156241
85	32376	155857
86	32762	155527
87	33122	155073
88	33474	154584
89	33819	154065
90	34152	153499
91	34504	153021
92	34871	152610
93	35247	152239
94	35601	151773
95	35885	151019
96	36275	150711
97	36643	150312
98	36931	149592
99	37335	149343
100	37701	148939
101	38011	148317
102	38412	148054
103	38747	147538
104	39069	146975
105	39433	146574
106	39786	146132
107	40169	145801
108	40542	145432
109	40941	145157
110	41323	144819
111	41692	144434
112	42057	144035
113	42438	143695
114	42730	143053
115	43069	142573
116	43419	142134
117	43814	141840
118	44119	141257
119	44468	140818
120	44800	140325
121	45145	139876
122	45560	139644
123	45948	139327
124	46318	138954
125	46674	138541
126	47023	138109
127	47410	137786
128	47802	137478
129	48126	136974
130	48475	136544
131	48821	136107
132	49163	135662
133	49549	135336
134	49873	134844
135	50255	134507
136	50604	134083
137	50942	133633
138	51314	133269
139	51643	132797
140	51971	132324
141	52392	132087
142	52793	131798
143	53116	131315
144	53489	130955
145	53837	130536
146	54237	130243
147	54615	129895
148	54920	129376
149	55287	129003
150	55598	128502
151	55975	128155
152	56352	127805
153	56755	127516
154	57060	127004
155	57375	126520
156	57771	126213
157	58122	125809
158	58486	125432
159	58908	125179
160	59277	124813
161	59650	124456
162	60020	124090
163	60388	123723
164	60739	123319
165	61044	122824
166	61439	122511
167	61784	122097
168	62176	121777
169	62536	121393
170	62914	121045
171	63227	120573
172	63605	120224
173	63940	119796
174	64302	119419
175	64597	118918
176	64979	118578
177	65290	118108
178	65656	117741
179	65977	117293
180	66347	116933
181	66732	116598
182	67075	116190
183	67435	115812
184	67719	115305
185	68104	114971
186	68453	114577
187	68783	114151
188	69101	113706
189	69475	113354
190	69833	112976
191	70120	112485
192	70472	112098
193	70767	111623
194	71162	111305
195	71532	110948
196	71845	110504
197	72165	110070
198	72497	109657
199	72848	109273
200	73208	108902
201	73483	108406
202	73838	108029
203	74178	107631
204	74507	107218
205	74858	106837
206	75211	106458
207	75528	106029
208	75853	105614
209	76162	105176
210	76487	104762
211	76821	104361
212	77223	104052
213	77625	103741
214	77989	103381
215	78331	102991
216	78692	102626
217	79023	102223
218	79383	101857
219	79708	101447
220	80030	101034
221	80396	100676
222	80722	100269
223	81100	99927
224	81467	99571
225	81758	99122
226	82141	98786
227	82434	98343
228	82755	97933
229	83150	97611
230	83530	97271
231	83879	96895
232	84245	96538
233	84612	96183
234	84948	95792
235	85265	95381
236	85616	95009
237	85969	94638
238	86319	94265
239	86662	93883
240	87026	93526
241	87318	93091
242	87683	92735
243	88064	92395
244	88412	92020
245	88711	91596
246	89060	91223
247	89410	90852
248	89681	90402
249	90016	90016
250	90307	89587
251	90611	89173
252	90902	88746
253	91178	88306
254	91462	87875
255	91725	87426
256	91961	86952
257	92270	86548
258	92541	86109
259	92767	85631
260	93058	85214
261	93331	84782
262	93604	84350
263	93873	83916
264	94124	83468
265	94391	83036
266	94715	82654
267	94974	82216
268	95257	81800
269	95567	81409
270	95830	80978
271	96087	80543
272	96446	80195
273	96866	79897
274	97138	79477
275	97336	78997
276	97601	78574
277	97855	78143
278	98026	77647
279	98274	77215
280	98486	76756
281	98672	76278
282	98856	75801
283	99095	75368
284	99309	74917
285	99500	74451
286	99687	73983
287	99961	73583
288	100172	73135
289	100379	72688
290	100558	72222
291	100787	71793
292	101061	71398
293	101253	70946
294	101448	70498
295	101674	70073
296	101835	69604
297	102072	69189
298	102352	68805
299	102632	68421
300	102921	68044
301	103167	67639
302	103423	67242
303	103733	66880
304	104026	66508
305	104227	66078
306	104394	65629
307	104534	65164
308	104682	64706
309	104837	64254
310	104999	63810
311	105148	63358
312	105313	62918
313	105503	62495
314	105657	62053
315	105801	61606
316	105940	61158
317	106086	60716
318	106254	60288
319	106388	59843
320	106512	59394
321	106666	58964
322	106788	58518
323	106919	58079
324	107059	57647
325	107184	57208
326	107293	56763
327	107422	56331
328	107550	55900
329	107697	55480
330	107836	55058
331	107994	54648
332	108139	54231
333	108250	53801
334	108389	53385
335	108527	52971
336	108659	52556
337	108808	52150
338	108953	51744
339	109092	51337
340	109227	50930
341	109346	50516
342	109512	50126
343	109627	49714
344	109763	49313
345	109904	48917
346	110038	48518
347	110163	48117
348	110305	47725
349	110452	47336
350	110591	46946
351	110709	46548
352	110832	46154
353	110964	45765
354	111093	45376
355	111211	44984
356	111353	44603
357	111476	44216
358	111624	43841
359	111779	43469
360	111899	43085
361	112061	42719
362	112205	42347
363	112334	41971
364	112488	41605
365	112624	41233
366	112756	40862
367	112870	40486
368	113016	40122
369	113157	39757
370	113288	39391
371	113421	39026
372	113555	38663
373	113689	38301
374	113818	37939
375	113958	37582
376	114120	37233
377	114250	36874
378	114386	36519
379	114531	36167
380	114670	35815
381	114787	35457
382	114910	35103
383	115064	34759
384	115199	34410
385	115334	34062
386	115446	33709
387	115585	33365
388	115702	33015
389	115845	32674
390	115961	32326
391	116080	31981
392	116210	31639
393	116369	31307
394	116519	30973
395	116676	30642
396	116810	30306
397	116945	29970
398	117094	29640
399	117250	29312
400	117373	28977
401	117525	28650
402	117632	28313
403	117763	27983
404	117907	27657
405	118026	27326
406	118160	26999
407	118312	26678
408	118447	26353
409	118575	26028
410	118715	25707
411	118836	25382
412	118980	25063
413	119121	24745
414	119264	24427
415	119393	24108
416	119528	23791
417	119690	23479
418	119814	23162
419	119941	22845
420	120074	22531
421	120209	22218
422	120338	21905
423	120481	21595
424	120615	21285
425	120773	20979
426	120880	20665
427	121043	20362
428	121175	20054
429	121319	19749
430	121459	19444
431	121582	19138
432	121712	18833
433	121841	18528
434	121978	18226
435	122103	17923
436	122256	17625
437	122392	17325
438	122558	17029
439	122693	16730
440	122820	16431
441	122939	16132
442	123072	15835
443	123207	15539
444	123334	15243
445	123450	14946
446	123583	14653
447	123717	14360
448	123851	14067
449	123981	13775
450	124102	13483
451	124234	13193
452	124362	12903
453	124510	12615
454	124643	12327
455	124769	12039
456	124890	11751
457	125037	11466
458	125172	11180
459	125303	10895
460	125435	10611
461	125556	10327
462	125699	10045
463	125850	9764
464	125992	9483
465	126114	9201
466	126260	8922
467	126401	8642
468	126542	8364
469	126668	8085
470	126797	7807
471	126932	7529
472	127066	7253
473	127186	6976
474	127312	6700
475	127443	6425
476	127548	6150
477	127680	5876
478	127791	5602
479	127888	5328
480	127989	5055
481	128101	4783
482	128216	4512
483	128331	4242
484	128458	3972
485	128533	3702
486	128617	3433
487	128693	3164
488	128770	2896
489	128842	2629
490	128926	2363
491	129001	2097
492	129076	1832
493	129146	1568
494	129223	1305
495	129303	1042
496	129380	780
497	129460	519
498	129530	259
499	129606	0
